State,State Code,Year,Year Code,Fine Particulate Matter (µg/m≥),Fine Particulate Matter (µg/m≥) Code,Avg Fine Particulate Matter (µg/m≥)
North Carolina,37,2003,2003,3,3,2.88
North Carolina,37,2003,2003,4,4,4
North Carolina,37,2003,2003,5,5,5.02
North Carolina,37,2003,2003,6,6,5.95
North Carolina,37,2003,2003,7,7,7.02
North Carolina,37,2003,2003,8,8,7.93
North Carolina,37,2003,2003,9,9,8.92
North Carolina,37,2003,2003,10,10,10
North Carolina,37,2003,2003,11,11,10.93
North Carolina,37,2003,2003,12,12,11.94
North Carolina,37,2003,2003,13,13,13.05
North Carolina,37,2003,2003,14,14,13.96
North Carolina,37,2003,2003,15,15,14.94
North Carolina,37,2003,2003,16,16,15.96
North Carolina,37,2003,2003,17,17,16.92
North Carolina,37,2003,2003,18,18,17.97
North Carolina,37,2003,2003,19,19,18.88
North Carolina,37,2003,2003,20,20,19.86
North Carolina,37,2003,2003,21,21,21.01
North Carolina,37,2003,2003,22,22,22.02
North Carolina,37,2003,2003,23,23,23.03
North Carolina,37,2003,2003,24,24,23.89
North Carolina,37,2003,2003,25,25,25
North Carolina,37,2003,2003,26,26,26.07
North Carolina,37,2003,2003,27,27,26.87
North Carolina,37,2003,2003,28,28,27.93
North Carolina,37,2003,2003,29,29,28.79
North Carolina,37,2003,2003,30,30,30.12
North Carolina,37,2003,2003,31,31,31.02
North Carolina,37,2003,2003,32,32,31.5
North Carolina,37,2003,2003,36,36,36.22
North Carolina,37,2003,2003,37,37,36.93
North Carolina,37,2003,2003,38,38,37.6
North Carolina,37,2003,2003,41,41,40.93
North Carolina,37,2003,2003,42,42,41.9
North Carolina,37,2003,2003,43,43,42.84
North Carolina,37,2003,2003,44,44,43.5
North Carolina,37,2003,2003,,,13.37
North Carolina,37,2004,2004,3,3,3.26
North Carolina,37,2004,2004,4,4,4.16
North Carolina,37,2004,2004,5,5,4.99
North Carolina,37,2004,2004,6,6,5.95
North Carolina,37,2004,2004,7,7,6.91
North Carolina,37,2004,2004,8,8,8.05
North Carolina,37,2004,2004,9,9,8.88
North Carolina,37,2004,2004,10,10,9.98
North Carolina,37,2004,2004,11,11,10.94
North Carolina,37,2004,2004,12,12,11.99
North Carolina,37,2004,2004,13,13,12.92
North Carolina,37,2004,2004,14,14,13.96
North Carolina,37,2004,2004,15,15,14.98
North Carolina,37,2004,2004,16,16,15.88
North Carolina,37,2004,2004,17,17,16.93
North Carolina,37,2004,2004,18,18,17.92
North Carolina,37,2004,2004,19,19,18.96
North Carolina,37,2004,2004,20,20,19.89
North Carolina,37,2004,2004,21,21,21.02
North Carolina,37,2004,2004,22,22,21.77
North Carolina,37,2004,2004,23,23,22.99
North Carolina,37,2004,2004,24,24,23.91
North Carolina,37,2004,2004,25,25,24.99
North Carolina,37,2004,2004,26,26,25.91
North Carolina,37,2004,2004,27,27,26.73
North Carolina,37,2004,2004,29,29,29.3
North Carolina,37,2004,2004,30,30,29.77
North Carolina,37,2004,2004,32,32,32.1
North Carolina,37,2004,2004,33,33,33.03
North Carolina,37,2004,2004,34,34,33.96
North Carolina,37,2004,2004,35,35,34.68
North Carolina,37,2004,2004,36,36,36.06
North Carolina,37,2004,2004,37,37,36.5
North Carolina,37,2004,2004,,,13.85
North Carolina,37,2005,2005,2,2,2.18
North Carolina,37,2005,2005,3,3,3.12
North Carolina,37,2005,2005,4,4,3.86
North Carolina,37,2005,2005,5,5,5
North Carolina,37,2005,2005,6,6,5.88
North Carolina,37,2005,2005,7,7,6.98
North Carolina,37,2005,2005,8,8,7.95
North Carolina,37,2005,2005,9,9,8.95
North Carolina,37,2005,2005,10,10,9.91
North Carolina,37,2005,2005,11,11,10.98
North Carolina,37,2005,2005,12,12,11.93
North Carolina,37,2005,2005,13,13,12.94
North Carolina,37,2005,2005,14,14,13.86
North Carolina,37,2005,2005,15,15,14.93
North Carolina,37,2005,2005,16,16,15.98
North Carolina,37,2005,2005,17,17,16.88
North Carolina,37,2005,2005,18,18,17.95
North Carolina,37,2005,2005,19,19,18.99
North Carolina,37,2005,2005,20,20,20.01
North Carolina,37,2005,2005,21,21,20.93
North Carolina,37,2005,2005,22,22,21.89
North Carolina,37,2005,2005,23,23,22.88
North Carolina,37,2005,2005,24,24,23.96
North Carolina,37,2005,2005,25,25,24.88
North Carolina,37,2005,2005,26,26,25.81
North Carolina,37,2005,2005,27,27,27.09
