State,Year,Fine Particulate Matter (µg/m≥),Avg Fine Particulate Matter (µg/m≥)
North Carolina,2003.0,3.0,2.88
North Carolina,2003.0,4.0,4.0
North Carolina,2003.0,5.0,5.02
North Carolina,2003.0,6.0,5.95
North Carolina,2003.0,7.0,7.02
North Carolina,2003.0,8.0,7.93
North Carolina,2003.0,9.0,8.92
North Carolina,2003.0,10.0,10.0
North Carolina,2003.0,11.0,10.93
North Carolina,2003.0,12.0,11.94
North Carolina,2003.0,13.0,13.05
North Carolina,2003.0,14.0,13.96
North Carolina,2003.0,15.0,14.94
North Carolina,2003.0,16.0,15.96
North Carolina,2003.0,17.0,16.92
North Carolina,2003.0,18.0,17.97
North Carolina,2003.0,19.0,18.88
North Carolina,2003.0,20.0,19.86
North Carolina,2003.0,21.0,21.01
North Carolina,2003.0,22.0,22.02
North Carolina,2003.0,23.0,23.03
North Carolina,2003.0,24.0,23.89
North Carolina,2003.0,25.0,25.0
North Carolina,2003.0,26.0,26.07
North Carolina,2003.0,27.0,26.87
North Carolina,2003.0,28.0,27.93
North Carolina,2003.0,29.0,28.79
North Carolina,2003.0,30.0,30.12
North Carolina,2003.0,31.0,31.02
North Carolina,2003.0,32.0,31.5
North Carolina,2003.0,36.0,36.22
North Carolina,2003.0,37.0,36.93
North Carolina,2003.0,38.0,37.6
North Carolina,2003.0,41.0,40.93
North Carolina,2003.0,42.0,41.9
North Carolina,2003.0,43.0,42.84
North Carolina,2003.0,44.0,43.5
North Carolina,2003.0,,13.37
North Carolina,2004.0,3.0,3.26
North Carolina,2004.0,4.0,4.16
North Carolina,2004.0,5.0,4.99
North Carolina,2004.0,6.0,5.95
North Carolina,2004.0,7.0,6.91
North Carolina,2004.0,8.0,8.05
North Carolina,2004.0,9.0,8.88
North Carolina,2004.0,10.0,9.98
North Carolina,2004.0,11.0,10.94
North Carolina,2004.0,12.0,11.99
North Carolina,2004.0,13.0,12.92
North Carolina,2004.0,14.0,13.96
North Carolina,2004.0,15.0,14.98
North Carolina,2004.0,16.0,15.88
North Carolina,2004.0,17.0,16.93
North Carolina,2004.0,18.0,17.92
North Carolina,2004.0,19.0,18.96
North Carolina,2004.0,20.0,19.89
North Carolina,2004.0,21.0,21.02
North Carolina,2004.0,22.0,21.77
North Carolina,2004.0,23.0,22.99
North Carolina,2004.0,24.0,23.91
North Carolina,2004.0,25.0,24.99
North Carolina,2004.0,26.0,25.91
North Carolina,2004.0,27.0,26.73
North Carolina,2004.0,29.0,29.3
North Carolina,2004.0,30.0,29.77
North Carolina,2004.0,32.0,32.1
North Carolina,2004.0,33.0,33.03
North Carolina,2004.0,34.0,33.96
North Carolina,2004.0,35.0,34.68
North Carolina,2004.0,36.0,36.06
North Carolina,2004.0,37.0,36.5
North Carolina,2004.0,,13.85
North Carolina,2005.0,2.0,2.18
North Carolina,2005.0,3.0,3.12
North Carolina,2005.0,4.0,3.86
North Carolina,2005.0,5.0,5.0
North Carolina,2005.0,6.0,5.88
North Carolina,2005.0,7.0,6.98
North Carolina,2005.0,8.0,7.95
North Carolina,2005.0,9.0,8.95
North Carolina,2005.0,10.0,9.91
North Carolina,2005.0,11.0,10.98
North Carolina,2005.0,12.0,11.93
